BYB,PEMBAYARAN,PDAM,DEPOK,DEPOK,BMSWADEPOK,PDAM KOTA DEPOK,RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,DENPASAR,DENPASAR,BMSWADPSR,PDAM KOTA DENPASAR (BALI),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,GIRIMANUK,GIRIMANUK,BMSWAGIRIM,PDAM KOTA GIRIMANUK,RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,GROBOGAN,GROBOGAN,BMSWAGROBG,PDAM KAB. GROBOGAN (JATENG),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,BANJARMASIN,BANJARMASIN,BMSWAIBANJ,PDAM KOTA BANJARMASIN (KALSEL),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,JAMBI,JAMBI,BMSWAJAMBI,PDAM KOTA JAMBI,RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,JEMBER,JEMBER,BMSWAJMBR,PDAM KAB. JEMBER (JATIM),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,KAB BANDUNG,KAB BANDUNG,BMSWAKABBD,PDAM KAB. BANDUNG (JABAR),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,KAB MALANG,KAB MALANG,BMSWAKABML,PDAM KAB. MALANG (JATIM),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,KAB SIDOARJO,KAB SIDOARJO,BMSWAKABSM,PDAM KAB. SIDOARJO (JATIM),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,KAB KARANGANYA,KAB KARANGANYA,BMSWAKARAN,PDAM KAB. KARANGANYAR (JATENG),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,KAB KEBUMEN,KAB KEBUMEN,BMSWAKBMN,PDAM KAB. KEBUMEN (JATENG),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,KAB KLATEN,KAB KLATEN,BMSWAKLATE,PDAM KAB. KLATEN (JATENG),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,KAB KENDAL,KAB KENDAL,BMSWAKNDL,PDAM KAB. KENDAL (JATENG),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,KOTA BOGOR,KOTA BOGOR,BMSWAKOBGR,PDAM KOTA DENPASAR (BALI),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,KAB PEKALONGAN,KAB PEKALONGAN,BMSWAKPKLN,PDAM KAB. PEKALONGAN (JATENG),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
BYB,PEMBAYARAN,PDAM,KAB KARAWANG,KAB KARAWANG,BMSWAKRWNG,PDAM KAB. KARAWANG (JABAR),RIZKY,9/2/2018,111111,RIZKY,9/2/2018,111111
